"word","BBC","CNN","FOX","MSNBC"
"crowds","0","37","16","31"
"rushing","0","8","2","0"
"stage","13","85","40","67"
"panic","19","8","21","9"
"chaos","0","84","111","23"
"X5oooo","3","7","1","5"
"attendance","3","5","3","1"
"sold","4","28","9","7"
"two.day","1","5","0","1"
"seen","57","54","88","34"
"entrances","0","7","0","0"
"overrunning","0","7","0","0"
"hundreds","50","64","41","91"
"issues","89","182","159","143"
"event","33","75","36","35"
"called","40","104","35","68"
"persuade","0","5","0","4"
"skeptical","0","15","5","19"
"delivers","0","29","7","36"
"s55ob","0","2","0","0"
"federal","29","246","52","345"
"jayapal","0","165","16","128"
"got","4","105","30","43"
"best","17","22","41","19"
"worlds","21","20","4","14"
"pramila","0","107","4","42"
"bidens","7","672","946","438"
"economic","56","481","80","152"
"agenda","0","1229","544","969"
"vow","0","29","19","58"
"social","561","350","98","181"
"later","83","87","95","38"
"jasmine","0","25","0","7"
"wright","0","26","0","4"
"reporter","8","235","76","238"
"passage","1","31","5","40"
"monumental","0","16","0","5"
"step","8","34","15","23"
"forward","15","50","19","87"
"errol","0","17","0","0"
"louis","2","28","2","12"
"commentator","9","103","5","3"
"strong","29","79","5","25"
"glenn","0","21","55","26"
"youngkin","0","158","117","127"
"defeats","0","25","6","17"
"democrat","8","62","29","34"
"terry","0","57","27","45"
"mcauliffe","0","177","155","196"
"governors","0","228","133","248"
"race","8","548","428","519"
"american","15","259","202","196"
"edge","1","31","12","8"
"project","31","20","38","65"
"pediatrician","0","18","0","4"
"explains","0","3","2","4"
"children","179","515","98","285"
"vaccinated","79","462","48","171"
"gabriela","0","2","0","0"
"maradiaga","0","2","0","0"
"panavotti","0","2","0","0"
"associate","1","59","7","65"
"weekend","17","72","69","41"
"ages","0","203","19","94"
"X57o","0","5","2","0"
"X11","22","175","206","190"
"X5to","0","8","3","4"
"duke","14","6","0","1"
"relief","5","53","27","18"
"intelligence","33","44","12","41"
"unit","0","11","1","13"
"overhaul","4","20","0","0"
"caused","41","18","17","13"
"confusion","0","57","21","8"
"ahead","44","504","139","542"
"X16","67","121","47","471"
"products","5","60","17","35"
"helps","5","84","27","148"
"empower","0","3","4","3"
"students","4","175","85","101"
"learning","8","34","13","14"
"disabilities","3","2","0","0"
"X2l","0","2","1","0"
